Name,Location,Image
Rick Sanchez,Earth (C-137),https://rickandmortyapi.com/api/character/avatar/1.jpeg
Morty Smith,unknown,https://rickandmortyapi.com/api/character/avatar/2.jpeg
Summer Smith,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/3.jpeg
Beth Smith,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/4.jpeg
Jerry Smith,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/5.jpeg
Annie,Earth (C-137),https://rickandmortyapi.com/api/character/avatar/17.jpeg
Antenna Morty,unknown,https://rickandmortyapi.com/api/character/avatar/18.jpeg
Artist Morty,unknown,https://rickandmortyapi.com/api/character/avatar/27.jpeg
Attila Starwar,unknown,https://rickandmortyapi.com/api/character/avatar/28.jpeg
Baby Legs,unknown,https://rickandmortyapi.com/api/character/avatar/29.jpeg
Beth Sanchez,Earth (C-500A),https://rickandmortyapi.com/api/character/avatar/37.jpeg
Beth Smith,Earth (C-137),https://rickandmortyapi.com/api/character/avatar/38.jpeg
Beth Smith,Earth (Evil Rick's Target Dimension),https://rickandmortyapi.com/api/character/avatar/39.jpeg
Bill,Earth (C-137),https://rickandmortyapi.com/api/character/avatar/45.jpeg
Black Rick,unknown,https://rickandmortyapi.com/api/character/avatar/48.jpeg
Bobby Moynihan,unknown,https://rickandmortyapi.com/api/character/avatar/54.jpeg
Brad,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/58.jpeg
Chris,Rick's Battery Microverse,https://rickandmortyapi.com/api/character/avatar/65.jpeg
Cool Rick,Earth (K-83),https://rickandmortyapi.com/api/character/avatar/72.jpeg
Cop Rick,unknown,https://rickandmortyapi.com/api/character/avatar/74.jpeg
